pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.47-PQU-13,10.0.47,PQU-13,13,2026-09-23,2026-09-23,2026-10-17,In-Progress,10.0.2527.215,7.0.7858.174,10.0.47.14,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-14,10.0.47,PQU-14,14,2026-10-07,2026-10-07,2026-10-31,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-15,10.0.47,PQU-15,15,2026-10-21,2026-10-21,2026-11-14,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-16,10.0.47,PQU-16,16,2026-11-04,2026-11-04,2026-11-28,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-17,10.0.47,PQU-17,17,2026-11-25,2026-11-25,2026-12-19,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-1,10.0.48,PQU-1,1,2026-07-08,2026-07-08,2026-08-01,Completed,10.0.2645.81,7.0.7996.74,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-2,10.0.48,PQU-2,2,2026-07-22,2026-07-22,2026-08-15,Completed,10.0.2645.90,7.0.7996.81,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-3,10.0.48,PQU-3,3,2026-08-05,2026-08-05,2026-08-29,Completed,10.0.2645.99,7.0.7996.88,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-4,10.0.48,PQU-4,4,2026-08-19,2026-08-19,2026-09-12,Completed,10.0.2645.111,7.0.7996.102,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-5,10.0.48,PQU-5,5,2026-09-02,2026-09-02,2026-09-26,In-Progress,10.0.2645.124,7.0.7996.111,10.0.48.6,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
