pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.49-PQU-7,10.0.49,PQU-7,7,2026-12-30,2026-12-30,2027-01-23,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-8,10.0.49,PQU-8,8,2027-01-13,2027-01-13,2027-02-06,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-9,10.0.49,PQU-9,9,2027-01-27,2027-01-27,2027-02-20,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-10,10.0.49,PQU-10,10,2027-02-10,2027-02-10,2027-03-06,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-11,10.0.49,PQU-11,11,2027-02-24,2027-02-24,2027-03-20,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-12,10.0.49,PQU-12,12,2027-03-10,2027-03-10,2027-04-03,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-13,10.0.49,PQU-13,13,2027-03-24,2027-03-24,2027-04-17,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-14,10.0.49,PQU-14,14,2027-04-07,2027-04-07,2027-05-01,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-15,10.0.49,PQU-15,15,2027-04-21,2027-04-21,2027-05-15,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-16,10.0.49,PQU-16,16,2027-05-05,2027-05-05,2027-05-29,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-17,10.0.49,PQU-17,17,2027-05-26,2027-05-26,2027-06-19,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
